=== BUNDLE 377 COMBINATION HISTORY ===

[18- WC- draynor willow- inzoom- S slightly SE]
F1=83.json|F1.2=F2 (1).json|F1.5=3SCT (24).json|F2=59.json|F2.5=F2 (10).json|F3=33.json|F3.5=C13 (62).json|F4=15.json|F5=- (32).json
F0=23.json|F1=2.json|F1.2=F2 (10).json|F1.5=3SCT (7).json|F2=48.json|F2.5=F2 (7).json|F3=12.json|F3.5=C13 (43).json|F4=73.json|F5=- (26).json
F1=78.json|F1.2=F2 (6).json|F1.5=3SCT (13).json|F2=16.json|F2.5=F2 (11).json|F3=20.json|F3.5=C13 (28).json|F4=44.json|F5=- (69).json
F1=59.json|F1.2=F2 (3).json|F1.5=3SCT (2).json|F2=8.json|F2.5=F2 (8).json|F3=8.json|F3.5=C13 (51).json|F4=63.json|F5=- (6).json
F1=39.json|F1.2=F2 (5).json|F1.5=3SCT (35).json|F2=81.json|F2.5=F2 (3).json|F3=39.json|F3.5=C13 (69).json|F4=32.json|F5=- (1).json
F1=85.json|F1.2=F2 (4).json|F1.5=3SCT (14).json|F2=7.json|F2.5=F2 (9).json|F3=54.json|F3.5=C13 (60).json|F4=7.json|F5=- (50).json
F1=51.json|F1.2=F2 (9).json|F1.5=3SCT (38).json|F2=75.json|F2.5=F2 (6).json|F3=25.json|F3.5=C13 (83).json|F4=5.json|F5=- (81).json
F1=56.json|F1.2=F2 (7).json|F1.5=3SCT (25).json|F2=4.json|F2.5=F2 (2).json|F3=40.json|F3.5=C13 (53).json|F4=47.json|F5=- (30).json
F0=36.json|F1=20.json|F1.2=F2 (8).json|F1.5=3SCT (21).json|F2=64.json|F2.5=F2 (5).json|F3=62.json|F3.5=C13 (64).json|F4=17.json|F5=- (57).json
F1=24.json|F1.2=F2 (2).json|F1.5=3SCT (36).json|F2=62.json|F2.5=F2 (4).json|F3=84.json|F3.5=C13 (63).json|F4=1.json|F5=- (40).json
F1=1.json|F1.2=F2 (11).json|F1.5=3SCT (11).json|F2=69.json|F2.5=F2 (1).json|F3=56.json|F3.5=C13 (35).json|F4=43.json|F5=- (76).json
F0=46.json|F1=55.json|F1.2=F2 (5).json|F1.5=3SCT (34).json|F2=86.json|F2.5=F2 (2).json|F3=36.json|F3.5=C13 (41).json|F4=18.json|F5=- (45).json
F1=7.json|F1.2=F2 (8).json|F1.5=3SCT (37).json|F2=49.json|F2.5=F2 (7).json|F3=74.json|F3.5=C13 (88).json|F4=80.json|F5=- (28).json
F1=26.json|F1.2=F2 (2).json|F1.5=3SCT (9).json|F2=65.json|F2.5=F2 (6).json|F3=18.json|F3.5=C13 (44).json|F4=50.json|F5=- (23).json
F1=72.json|F1.2=F2 (7).json|F1.5=3SCT (19).json|F2=36.json|F2.5=F2 (9).json|F3=71.json|F3.5=C13 (74).json|F4=70.json|F5=- (66).json
F1=4.json|F1.2=F2 (3).json|F1.5=3SCT (16).json|F2=70.json|F2.5=F2 (10).json|F3=10.json|F3.5=C13 (96).json|F4=74.json|F5=- (62).json
F1=40.json|F1.2=F2 (1).json|F1.5=3SCT (43).json|F2=28.json|F2.5=F2 (4).json|F3=32.json|F3.5=C13 (7).json|F4=60.json|F5=- (78).json
F1=61.json|F1.2=F2 (11).json|F1.5=3SCT (20).json|F2=42.json|F2.5=F2 (11).json|F3=49.json|F3.5=C13 (32).json|F4=27.json|F5=- (55).json
F1=53.json|F1.2=F2 (4).json|F1.5=3SCT (42).json|F2=44.json|F2.5=F2 (3).json|F3=46.json|F3.5=C13 (86).json|F4=86.json|F5=- (8).json
F1=65.json|F1.2=F2 (6).json|F1.5=3SCT (29).json|F2=61.json|F2.5=F2 (5).json|F3=2.json|F3.5=C13 (22).json|F4=54.json|F5=- (36).json
F0=50.json|F1=42.json|F1.2=F2 (9).json|F1.5=3SCT (5).json|F2=46.json|F2.5=F2 (8).json|F3=52.json|F3.5=C13 (49).json|F4=21.json|F5=- (5).json
F1=28.json|F1.2=F2 (10).json|F1.5=3SCT (33).json|F2=15.json|F2.5=F2 (1).json|F3=21.json|F3.5=C13 (73).json|F4=16.json|F5=- (46).json
F0=29.json|F1=33.json|F1.2=F2 (5).json|F1.5=3SCT (12).json|F2=35.json|F2.5=F2 (6).json|F3=69.json|F3.5=C13 (80).json|F4=62.json|F5=- (79).json
F1=80.json|F1.2=F2 (9).json|F1.5=3SCT (39).json|F2=14.json|F2.5=F2 (1).json|F3=86.json|F3.5=C13 (17).json|F4=2.json|F5=- (58).json
F1=49.json|F1.2=F2 (4).json|F1.5=3SCT (17).json|F2=83.json|F2.5=F2 (10).json|F3=47.json|F3.5=C13 (66).json|F4=67.json|F5=- (20).json
F1=52.json|F1.2=F2 (11).json|F1.5=3SCT (45).json|F2=29.json|F2.5=F2 (7).json|F3=72.json|F3.5=C13 (85).json|F4=24.json|F5=- (29).json
F0=13.json|F1=10.json|F1.2=F2 (3).json|F1.5=3SCT (44).json|F2=32.json|F2.5=F2 (4).json|F3=11.json|F3.5=C13 (26).json|F4=10.json|F5=- (19).json
F1=35.json|F1.2=F2 (1).json|F1.5=3SCT (31).json|F2=39.json|F2.5=F2 (5).json|F3=44.json|F3.5=C13 (95).json|F4=79.json|F5=- (47).json
F0=21.json|F1=75.json|F1.2=F2 (6).json|F1.5=3SCT (18).json|F2=13.json|F2.5=F2 (11).json|F3=67.json|F3.5=C13 (37).json|F4=3.json|F5=- (25).json
F1=64.json|F1.2=F2 (8).json|F1.5=3SCT (30).json|F2=1.json|F2.5=F2 (9).json|F3=78.json|F3.5=C13 (10).json|F4=38.json|F5=- (53).json
F1=77.json|F1.2=F2 (10).json|F1.5=3SCT (4).json|F2=2.json|F2.5=F2 (3).json|F3=66.json|F3.5=C13 (68).json|F4=83.json|F5=- (54).json
